Model,Data,Type,Language Model,Language,QAAlignedF1Score (BERTScore),QAAlignedF1Score (MoverScore),QAAlignedPrecision (BERTScore),QAAlignedPrecision (MoverScore),QAAlignedRecall (BERTScore),QAAlignedRecall (MoverScore)
lmqg/mt5-base-koquad-qag,lmqg/qg_koquad,End2end QAG,google/mt5-base,Korean,76.88,77.95,77.1,78.29,76.69,77.66
lmqg/mt5-base-koquad-qg-ae,lmqg/qg_koquad,Multitask QAG,google/mt5-base,Korean,80.28,81.97,77.03,78.1,83.91,86.43
lmqg/mt5-base-koquad-qg,lmqg/qg_koquad,Pipeline QAG,google/mt5-base,Korean,77.26,77.51,76.37,76.26,78.25,78.95
lmqg/mt5-small-koquad-qag,lmqg/qg_koquad,End2end QAG,google/mt5-small,Korean,74.23,75.06,74.29,75.14,74.2,75.04
lmqg/mt5-small-koquad-qg-ae,lmqg/qg_koquad,Multitask QAG,google/mt5-small,Korean,80.36,82.55,77.34,78.93,83.72,86.69
lmqg/mt5-small-koquad-qg,lmqg/qg_koquad,Pipeline QAG,google/mt5-small,Korean,80.52,82.95,77.56,79.39,83.8,87.02
lmqg/mbart-large-cc25-ruquad-qag,lmqg/qg_ruquad,End2end QAG,facebook/mbart-large-cc25,Russian,77.36,56.1,74.97,54.4,80.05,58.11
lmqg/mbart-large-cc25-ruquad-qg-ae,lmqg/qg_ruquad,Multitask QAG,facebook/mbart-large-cc25,Russian,60.14,42.22,58.32,41.05,62.21,43.58
lmqg/mbart-large-cc25-ruquad-qg,lmqg/qg_ruquad,Pipeline QAG,facebook/mbart-large-cc25,Russian,79.14,56.25,75.88,54.01,82.85,58.93
lmqg/mt5-base-ruquad-qag,lmqg/qg_ruquad,End2end QAG,google/mt5-base,Russian,74.63,54.24,73.97,53.91,75.38,54.65
lmqg/mt5-base-ruquad-qg-ae,lmqg/qg_ruquad,Multitask QAG,google/mt5-base,Russian,80.21,57.17,76.48,54.4,84.49,60.55
lmqg/mt5-base-ruquad-qg,lmqg/qg_ruquad,Pipeline QAG,google/mt5-base,Russian,77.03,55.61,73.44,53.27,81.17,58.39
lmqg/mt5-small-ruquad-qag,lmqg/qg_ruquad,End2end QAG,google/mt5-small,Russian,52.95,38.59,52.86,38.57,53.06,38.62
lmqg/mt5-small-ruquad-qg-ae,lmqg/qg_ruquad,Multitask QAG,google/mt5-small,Russian,79.74,56.69,76.15,54.11,83.83,59.79
lmqg/mt5-small-ruquad-qg,lmqg/qg_ruquad,Pipeline QAG,google/mt5-small,Russian,76.96,55.53,73.41,53.24,81.05,58.25
lmqg/mbart-large-cc25-esquad-qag,lmqg/qg_esquad,End2end QAG,facebook/mbart-large-cc25,Spanish,78.8,54,76.59,52.57,81.21,55.63
lmqg/mbart-large-cc25-esquad-qg-ae,lmqg/qg_esquad,Multitask QAG,facebook/mbart-large-cc25,Spanish,81.13,54.86,77.75,52.82,84.91,57.16
lmqg/mbart-large-cc25-esquad-qg,lmqg/qg_esquad,Pipeline QAG,facebook/mbart-large-cc25,Spanish,79.26,54.68,76.78,53.17,81.98,56.37
lmqg/mt5-base-esquad-qag,lmqg/qg_esquad,End2end QAG,google/mt5-base,Spanish,78.96,54.3,78.66,54.21,79.31,54.42
lmqg/mt5-base-esquad-qg-ae,lmqg/qg_esquad,Multitask QAG,google/mt5-base,Spanish,79.67,54.82,77.14,53.27,82.44,56.56
lmqg/mt5-base-esquad-qg,lmqg/qg_esquad,Pipeline QAG,google/mt5-base,Spanish,80.79,55.25,78.45,53.7,83.34,56.99
lmqg/mt5-small-esquad-qag,lmqg/qg_esquad,End2end QAG,google/mt5-small,Spanish,78.12,53.92,78,53.93,78.27,53.93
lmqg/mt5-small-esquad-qg-ae,lmqg/qg_esquad,Multitask QAG,google/mt5-small,Spanish,79.06,54.49,76.46,52.96,81.94,56.21
lmqg/mt5-small-esquad-qg,lmqg/qg_esquad,Pipeline QAG,google/mt5-small,Spanish,79.89,54.82,77.46,53.31,82.56,56.52
