Model,Model Size,Model Input (Train),Model Input (Test),BLEU 4,ROUGE L,METEOR,BERTScore,MoverScore,BLEU 4 (answer-level),ROUGE L (answer-level),METEOR (answer-level),BERTScore (answer-level),MoverScore (answer-level)
BART (LARGE),400,sentence+answer,paragraph+sentence,12.566017189804294,38.917637123763754,16.812369882775393,88.80635981397033,59.13243876348301,8.667748865485137,34.10841555120718,14.365567342135687,88.5972345930223,58.85328059188496
T5 (SMALL),60,sentence+answer,paragraph+sentence,13.430626258156304,39.509284015353266,18.53468152519135,88.21974294108938,59.019026871742,9.24596800155491,34.64880038834164,15.847437151134269,88.0010304948221,58.71962847625495
T5 (BASE),220,sentence+answer,paragraph+sentence,15.607349149964241,42.46707585101934,19.607484242711458,89.07594755784761,60.12876451898816,10.823818352272928,36.97492327418771,16.6849007672695,88.8342311419029,59.788327941216146
T5 (LARGE),770,sentence+answer,paragraph+sentence,16.38265729106251,42.86904535949684,19.92015739488472,89.13203430369326,60.482151275462634,11.411854071087307,37.385709290747386,16.942187995865694,88.85536514579562,60.07737369487538
BART (BASE),140,sentence+answer,sentence+answer,23.861465916541718,51.42752621919274,25.181496506572948,90.70136075591869,63.84645408685703,19.376642403631394,47.78740445417078,23.137104841320795,90.42144786772567,63.52737360649393
BART (LARGE),400,sentence+answer,sentence+answer,23.861465916541718,51.42752621919274,25.181496506572948,90.70136092258231,63.84645408685703,19.376642403631394,47.78740445417078,23.137104841320795,90.42144769609321,63.52737360649393
T5 (SMALL),60,sentence+answer,sentence+answer,23.23410628068291,50.177845633582194,24.803004691027773,90.35977943342849,63.18028738243845,18.703549320898357,46.42678539917087,22.615973164974985,90.07869142820371,62.885251268621445
T5 (BASE),220,sentence+answer,sentence+answer,24.333113204169607,51.80594839370757,25.81450886886534,90.7275978890228,64.00353625885768,20.094257106842882,48.364626718042786,23.82594621638513,90.47412066444801,63.81082600832797
T5 (LARGE),770,sentence+answer,sentence+answer,25.360460060884137,52.53010159135093,26.280710288012866,90.8802768433947,64.43595152739033,20.99380098731638,49.15940043856977,24.3282097286283,90.6138200330104,64.27156948592183
BART (BASE),140,paragraph+sentence,paragraph+answer,21.96802868921128,49.69587276001563,23.715466422245665,90.378149447854,63.07014769529157,17.405775888064117,45.82492500569481,21.526782645073062,90.21058864311266,62.94449546199221
BART (LARGE),400,paragraph+sentence,paragraph+answer,23.93038233636903,51.100396617309585,25.37010522177611,90.52684208981904,63.69756293820377,19.483124274569025,47.63053351560294,23.359626643241924,90.37982002044954,63.641147915060216
T5 (SMALL),60,paragraph+sentence,paragraph+answer,21.485258550976717,48.14016162942198,23.377448216932624,89.89167797389837,62.35067427760864,16.737344156826012,43.89246933422478,20.932660401049088,89.65913765938522,62.1026053479291
T5 (BASE),220,paragraph+sentence,paragraph+answer,23.665221819301404,50.996142338892625,25.12565518395702,90.43511635054327,63.6555727016224,18.964233465857617,47.10640318816373,22.825486940829816,90.21433816972261,63.42991642088573
T5 (LARGE),770,paragraph+sentence,paragraph+answer,24.274186444873784,51.30130898459896,25.669800693629497,90.41203371978852,63.96617909609029,19.701556230908768,47.500633997558204,23.43170336427474,90.22981948981815,63.79686031281055
BART (BASE),140,paragraph+sentence,paragraph+sentence,21.96802868921128,49.69587276001563,23.715466422245665,90.37814976684459,63.07014769529157,17.405775888064117,45.82492500569481,21.526782645073062,90.2105886902865,62.94449546199221
BART (LARGE),400,paragraph+sentence,paragraph+sentence,23.46836480646678,50.2469628300384,24.936501492606215,90.28045036888811,63.282872409527236,17.854163897119218,45.122954313396484,21.88383319130062,89.99016191749206,62.90793481209369
T5 (SMALL),60,paragraph+sentence,paragraph+sentence,21.121852916203583,47.46967055057577,23.384596803152295,89.64476409584947,62.07232474685432,15.791277890292585,42.21907969546454,20.287378099174948,89.34967277165845,61.660637226910076
T5 (BASE),220,paragraph+sentence,paragraph+sentence,22.859099989926428,49.5068954795482,24.524270363216242,90.0333419710989,62.98855857720708,17.398295974999197,44.446070925222344,21.49407765935174,89.74996699451387,62.58506528753398
T5 (LARGE),770,paragraph+sentence,paragraph+sentence,24.274186444873784,51.30130898459896,25.669800693629497,90.41203384254614,63.96620795786805,19.701556230908768,47.500633997558204,23.43170336427474,90.2298194260833,63.79686031281055
BART (BASE),140,paragraph+sentence,sentence+answer,21.073875816586245,48.45697373647316,22.808527306125338,90.2527340155227,62.44171217829154,16.72066613457172,44.78998447003861,20.78975750845039,90.10965511475065,62.41204505280661
BART (LARGE),400,paragraph+sentence,sentence+answer,22.52730560915434,49.907534625762636,24.160041021953774,90.50820311615428,63.08528500238049,18.369232428294794,46.55051691541675,22.284116559628792,90.36695735918468,63.12128204611849
T5 (SMALL),60,paragraph+sentence,sentence+answer,20.493642240204036,47.15132202373502,22.439255544823624,89.85398485315757,61.80458596560111,15.882087854164729,42.962964982552506,20.12911279990652,89.639091395846,61.66223475482839
T5 (BASE),220,paragraph+sentence,sentence+answer,21.836270962424127,49.28438708602262,23.567488103302995,90.36086824237046,62.720622248061076,17.497257139391202,45.59747280079549,21.535047047983582,90.16613226562394,62.69230032533054
T5 (LARGE),770,paragraph+sentence,sentence+answer,22.510140555998216,49.55334834397044,24.07802553159669,90.26036975760813,63.08479794796621,18.200130350585663,45.889988781470436,22.038694565175938,90.0951385071475,62.979839288262
