Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-QG Evaluation Qualified (new worker),UPDATE-QG Evaluation Qualified (new worker),CURRENT-QG Evaluation Qualified,UPDATE-QG Evaluation Qualified,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
A1DU5P3DMNJ44M,https://requester.mturk.com/workers/A1DU5P3DMNJ44M,1,1,100.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A1EX0MEOPF8AHT,https://requester.mturk.com/workers/A1EX0MEOPF8AHT,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1FP3SH704X01V,https://requester.mturk.com/workers/A1FP3SH704X01V,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,100,,Never Blocked,,
A1FVXS8IM5QYO8,https://requester.mturk.com/workers/A1FVXS8IM5QYO8,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1GKEEI844CEKI,https://requester.mturk.com/workers/A1GKEEI844CEKI,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A1IHI23KH87K5W,https://requester.mturk.com/workers/A1IHI23KH87K5W,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1IOMFFEKCWOIT,https://requester.mturk.com/workers/A1IOMFFEKCWOIT,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1IU5OP7BBZHZ7,https://requester.mturk.com/workers/A1IU5OP7BBZHZ7,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1IZ4NX41GKU4X,https://requester.mturk.com/workers/A1IZ4NX41GKU4X,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1L5C48OTKK08E,https://requester.mturk.com/workers/A1L5C48OTKK08E,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1LXW53Z5S9XG,https://requester.mturk.com/workers/A1LXW53Z5S9XG,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A1NF6PELRKACS9,https://requester.mturk.com/workers/A1NF6PELRKACS9,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1NZFJHVJ9CNTO,https://requester.mturk.com/workers/A1NZFJHVJ9CNTO,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1ONILGBGJ8Y5K,https://requester.mturk.com/workers/A1ONILGBGJ8Y5K,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1P3Z24Y6GRNVA,https://requester.mturk.com/workers/A1P3Z24Y6GRNVA,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1PAR1TMKFPKQE,https://requester.mturk.com/workers/A1PAR1TMKFPKQE,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1SCPXEIA8EYT5,https://requester.mturk.com/workers/A1SCPXEIA8EYT5,1,1,100.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A1SUU1QIRDZXJC,https://requester.mturk.com/workers/A1SUU1QIRDZXJC,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A1T3ROSW2LC4FG,https://requester.mturk.com/workers/A1T3ROSW2LC4FG,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1V2H0UF94ATWY,https://requester.mturk.com/workers/A1V2H0UF94ATWY,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,100,,Never Blocked,,
A1V6CP5I0TOSAR,https://requester.mturk.com/workers/A1V6CP5I0TOSAR,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1XH05IKC77OXO,https://requester.mturk.com/workers/A1XH05IKC77OXO,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A20X14OMRL0YPZ,https://requester.mturk.com/workers/A20X14OMRL0YPZ,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,100,,Never Blocked,,
A219VCQZADQ45W,https://requester.mturk.com/workers/A219VCQZADQ45W,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A21EZISIJ3JPSW,https://requester.mturk.com/workers/A21EZISIJ3JPSW,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A22AKWWFAN7VQM,https://requester.mturk.com/workers/A22AKWWFAN7VQM,1,1,100.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A22T69YW4WUANF,https://requester.mturk.com/workers/A22T69YW4WUANF,31,31,100.00%,31,31,100.00%,13,13,100.00%,0,0,100,,Never Blocked,,
A26399B1QZ7XJJ,https://requester.mturk.com/workers/A26399B1QZ7XJJ,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A264NN7JBX4UDQ,https://requester.mturk.com/workers/A264NN7JBX4UDQ,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A272A0JGRTBFCR,https://requester.mturk.com/workers/A272A0JGRTBFCR,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A27W025UEXS1G0,https://requester.mturk.com/workers/A27W025UEXS1G0,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A28A3HF3LSEIDT,https://requester.mturk.com/workers/A28A3HF3LSEIDT,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A2AAY4VT9L71SY,https://requester.mturk.com/workers/A2AAY4VT9L71SY,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A2BAQ26SMQQEUG,https://requester.mturk.com/workers/A2BAQ26SMQQEUG,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A2CK0OXMPOR9LE,https://requester.mturk.com/workers/A2CK0OXMPOR9LE,1,1,100.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A2GK8NS27GDFCZ,https://requester.mturk.com/workers/A2GK8NS27GDFCZ,2,2,100.00%,2,2,100.00%,0,0,0.00%,0,0,100,,Never Blocked,,
A2HNP1YL1IBFMU,https://requester.mturk.com/workers/A2HNP1YL1IBFMU,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A2K1K7ALOS8YIN,https://requester.mturk.com/workers/A2K1K7ALOS8YIN,1,1,100.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A2LRFPJOIC51KY,https://requester.mturk.com/workers/A2LRFPJOIC51KY,1,1,100.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A2LV5432PV1S39,https://requester.mturk.com/workers/A2LV5432PV1S39,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A2PXJTMWGUE5DC,https://requester.mturk.com/workers/A2PXJTMWGUE5DC,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A2PYXFVGNJPPX0,https://requester.mturk.com/workers/A2PYXFVGNJPPX0,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A2QD9PJUKW7PKK,https://requester.mturk.com/workers/A2QD9PJUKW7PKK,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A2QNZ7FUBNVZUX,https://requester.mturk.com/workers/A2QNZ7FUBNVZUX,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A2T5CROJ0FWIJY,https://requester.mturk.com/workers/A2T5CROJ0FWIJY,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A2T7HLGR4UMO39,https://requester.mturk.com/workers/A2T7HLGR4UMO39,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A2TDGWWPX6IMIZ,https://requester.mturk.com/workers/A2TDGWWPX6IMIZ,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A2UCKZZI9KBBCV,https://requester.mturk.com/workers/A2UCKZZI9KBBCV,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A2UO3QJZNC2VOE,https://requester.mturk.com/workers/A2UO3QJZNC2VOE,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A2VE5IV9OD2SK1,https://requester.mturk.com/workers/A2VE5IV9OD2SK1,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,100,,Never Blocked,,
A2W3KKNN3CAY66,https://requester.mturk.com/workers/A2W3KKNN3CAY66,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A2WNW8A4MOR7T7,https://requester.mturk.com/workers/A2WNW8A4MOR7T7,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A2XRVVY83KL75M,https://requester.mturk.com/workers/A2XRVVY83KL75M,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A2YO837C0O1E91,https://requester.mturk.com/workers/A2YO837C0O1E91,1,1,100.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A31Z5TPD8QKE26,https://requester.mturk.com/workers/A31Z5TPD8QKE26,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A320QA9HJFUOZO,https://requester.mturk.com/workers/A320QA9HJFUOZO,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A32CMQGGTSUK6Z,https://requester.mturk.com/workers/A32CMQGGTSUK6Z,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A353KETOEN0W8T,https://requester.mturk.com/workers/A353KETOEN0W8T,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A35BY30TC8WCL4,https://requester.mturk.com/workers/A35BY30TC8WCL4,90,90,100.00%,90,90,100.00%,46,46,100.00%,0,0,100,,Never Blocked,,
A36T7N6CT9GUCG,https://requester.mturk.com/workers/A36T7N6CT9GUCG,2,2,100.00%,2,2,100.00%,1,1,100.00%,0,0,100,,Never Blocked,,
A37JD0XUZHQYRC,https://requester.mturk.com/workers/A37JD0XUZHQYRC,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A3862RIFFUV141,https://requester.mturk.com/workers/A3862RIFFUV141,4,4,100.00%,4,4,100.00%,1,1,100.00%,0,0,100,,Never Blocked,,
A3A8P4UR9A0DWQ,https://requester.mturk.com/workers/A3A8P4UR9A0DWQ,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A3AJR1PM02424Y,https://requester.mturk.com/workers/A3AJR1PM02424Y,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3AKZJNAUP8LSA,https://requester.mturk.com/workers/A3AKZJNAUP8LSA,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A3C3Q963MQDPGT,https://requester.mturk.com/workers/A3C3Q963MQDPGT,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,100,,Never Blocked,,
A3CFNUD7VR2E1E,https://requester.mturk.com/workers/A3CFNUD7VR2E1E,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A3FKXJVH0K2E3E,https://requester.mturk.com/workers/A3FKXJVH0K2E3E,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3G5IPGLH1IIZN,https://requester.mturk.com/workers/A3G5IPGLH1IIZN,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3HALUPLZ4IKYJ,https://requester.mturk.com/workers/A3HALUPLZ4IKYJ,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3HMDGRGC5JB7E,https://requester.mturk.com/workers/A3HMDGRGC5JB7E,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A3JN18TC8GL3IH,https://requester.mturk.com/workers/A3JN18TC8GL3IH,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3LMI7ZDFO8JHR,https://requester.mturk.com/workers/A3LMI7ZDFO8JHR,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3O7X46E3REM7I,https://requester.mturk.com/workers/A3O7X46E3REM7I,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A3O81LHBBI8NPK,https://requester.mturk.com/workers/A3O81LHBBI8NPK,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3OZ288I9CBLWF,https://requester.mturk.com/workers/A3OZ288I9CBLWF,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A3OZ8KF0HWSVWK,https://requester.mturk.com/workers/A3OZ8KF0HWSVWK,1,1,100.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A3QI1RV4HQ9MOC,https://requester.mturk.com/workers/A3QI1RV4HQ9MOC,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3QZMGTVA4VO44,https://requester.mturk.com/workers/A3QZMGTVA4VO44,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3RQN5RZD1N2KP,https://requester.mturk.com/workers/A3RQN5RZD1N2KP,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3U21PUMQ6NGT2,https://requester.mturk.com/workers/A3U21PUMQ6NGT2,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3UUH3632AI3ZX,https://requester.mturk.com/workers/A3UUH3632AI3ZX,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3UV55HC87DO9C,https://requester.mturk.com/workers/A3UV55HC87DO9C,6,6,100.00%,6,6,100.00%,4,4,100.00%,0,0,100,,Never Blocked,,
A3V5IIPZ95YVKH,https://requester.mturk.com/workers/A3V5IIPZ95YVKH,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A3VOMP0WOJTB4I,https://requester.mturk.com/workers/A3VOMP0WOJTB4I,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A4E1UYPDHE8D8,https://requester.mturk.com/workers/A4E1UYPDHE8D8,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A4T7PYGN1BE2P,https://requester.mturk.com/workers/A4T7PYGN1BE2P,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A4W9APAHFWVLO,https://requester.mturk.com/workers/A4W9APAHFWVLO,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A5LYLHG880ABE,https://requester.mturk.com/workers/A5LYLHG880ABE,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A5V3ZMQI0PU3F,https://requester.mturk.com/workers/A5V3ZMQI0PU3F,7,7,100.00%,7,7,100.00%,4,4,100.00%,0,0,100,,Never Blocked,,
A70L26UXLTGLC,https://requester.mturk.com/workers/A70L26UXLTGLC,1,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Blocked,,
A7R1OLLU1Z6RA,https://requester.mturk.com/workers/A7R1OLLU1Z6RA,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,100,,Never Blocked,,
A7TUG10LNB586,https://requester.mturk.com/workers/A7TUG10LNB586,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A87D3K9YVKTQ7,https://requester.mturk.com/workers/A87D3K9YVKTQ7,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A9MYC5IGQ2DO4,https://requester.mturk.com/workers/A9MYC5IGQ2DO4,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
AAWX7QFQUNM6D,https://requester.mturk.com/workers/AAWX7QFQUNM6D,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,100,,Never Blocked,,
ABMPX2Y2IRBMG,https://requester.mturk.com/workers/ABMPX2Y2IRBMG,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
ACGHHDT7RY1AH,https://requester.mturk.com/workers/ACGHHDT7RY1AH,55,55,100.00%,54,54,100.00%,18,18,100.00%,0,0,100,,Never Blocked,,
AE03LUY7RH400,https://requester.mturk.com/workers/AE03LUY7RH400,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
AE861G0AY5RGT,https://requester.mturk.com/workers/AE861G0AY5RGT,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
AHV4U78TUUDKI,https://requester.mturk.com/workers/AHV4U78TUUDKI,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
AKX5RHHO8BIUX,https://requester.mturk.com/workers/AKX5RHHO8BIUX,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
AM0JKZVOEOTMA,https://requester.mturk.com/workers/AM0JKZVOEOTMA,8,8,100.00%,7,7,100.00%,0,0,0.00%,0,0,100,,Never Blocked,,
AM9XH69KBK5X5,https://requester.mturk.com/workers/AM9XH69KBK5X5,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
AORHXBTOCXFUK,https://requester.mturk.com/workers/AORHXBTOCXFUK,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
APGX2WZ59OWDN,https://requester.mturk.com/workers/APGX2WZ59OWDN,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
APSN3KV49VLKX,https://requester.mturk.com/workers/APSN3KV49VLKX,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
AR95C0P53AFWJ,https://requester.mturk.com/workers/AR95C0P53AFWJ,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
ARLGZWN6W91WD,https://requester.mturk.com/workers/ARLGZWN6W91WD,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
ARTQWWNFA7IOD,https://requester.mturk.com/workers/ARTQWWNFA7IOD,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
ASWZO1WY1UHEP,https://requester.mturk.com/workers/ASWZO1WY1UHEP,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
ATBGHQ2VYNIVZ,https://requester.mturk.com/workers/ATBGHQ2VYNIVZ,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
ATR6RB1RULOC0,https://requester.mturk.com/workers/ATR6RB1RULOC0,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,100,,Never Blocked,,
AURYD2FH3FUOQ,https://requester.mturk.com/workers/AURYD2FH3FUOQ,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
AV22FQTJNBUZT,https://requester.mturk.com/workers/AV22FQTJNBUZT,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
AXMPSUNKUBEIL,https://requester.mturk.com/workers/AXMPSUNKUBEIL,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
AYJGJAIY0EXW,https://requester.mturk.com/workers/AYJGJAIY0EXW,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
